"","x","y"
"1",220,-795
"2",219.214365,-793.158707
"3",217.687531872654,-785.194179543457
"4",217.21390417385,-785.378244516381
"5",215.75807878776,-781.401425286113
"6",214.550769091715,-777.375217091609
"7",213.848626136576,-777.169446180503
"8",213.562037501707,-776.093227016104
"9",213.260951718242,-773.236799566988
"10",212.935348403269,-770.525289350123
"11",212.639428360986,-766.860838821427
"12",212.78550615863,-762.458767146451
"13",212.850546072734,-758.217515579929
"14",213.049927492174,-753.537495594075
"15",212.98308729076,-747.856872976967
"16",212.241621156849,-740.627591349756
"17",211.90372348112,-732.685879540806
"18",210.818195492637,-718.942039477674
"19",209.302357044049,-708.684586120368
"20",207.563955473703,-696.921420176134
"21",202.172123676286,-684.702465219991
"22",201.47284987088,-672.800828598746
"23",201.223176467673,-661.194100958346
"24",198.347111836191,-647.370618348158
"25",194.886461766888,-632.301162665421
"26",192.344759181315,-617.990380060364
"27",190.591848187608,-603.379803904782
"28",189.313908193534,-589.459771061232
"29",187.336947035809,-574.827100054169
"30",185.573257363279,-559.400394270519
"31",184.30098808831,-547.017137390106
"32",182.959326903117,-533.042897331352
"33",181.587281873301,-523.779238403911
"34",180.187568557142,-509.486315426897
"35",178.851118286142,-496.846639219707
"36",177.93216513487,-486.986284828037
"37",177.456537949692,-479.173159165491
"38",176.631920263533,-471.295617953892
"39",176.121402685237,-466.184443604201
"40",175.601442681629,-456.462052534302
"41",174.048253778765,-440.609021497389
"42",173.135514867422,-429.636741039506
"43",172.255426874584,-418.346580634336
"44",170.035173521346,-403.658481434683
"45",167.966706546491,-391.138274738733
"46",167.146588312463,-378.54178133075
"47",167.830150785707,-367.46343748027
"48",166.527426596637,-356.13346470437
"49",164.139532634673,-345.534521112342
"50",162.961582508716,-334.596841398349
"51",161.813700329586,-324.782171393028
"52",160.663783223154,-315.845960031677
"53",160.009757615379,-307.885579746694
"54",159.329818776206,-301.372660669332
"55",158.444695875796,-289.707846165232
"56",158.037543085136,-281.701353343769
"57",157.545795984655,-274.523273168175
"58",156.668539740724,-268.964758989991
"59",155.659306071483,-259.346977423405
"60",154.639600212218,-253.982518243227
"61",153.501038733451,-243.831697629899
"62",152.32959221136,-238.012649454134
"63",150.504588144622,-225.400405932639
"64",149.373707532716,-219.874701434881
"65",148.256738020322,-213.599795891402
"66",146.539733957953,-208.637315346549
"67",144.799178330638,-199.807807986798
"68",142.770470549856,-192.307151935482
"69",140.72972942189,-183.152391213483
"70",138.729682087403,-175.505260539284
"71",135.96108347534,-164.431428303016
"72",134.355804330016,-160.252273438958
"73",132.183885761768,-152.670466821063
"74",129.606111924162,-144.847915733513
"75",126.781740263335,-135.235577235476
"76",123.815315964969,-126.522930280745
"77",121.453049111616,-119.006137054512
"78",119.025562163307,-112.742023585928
"79",115.995215484313,-105.391625674318
"80",112.830797957384,-98.539727478402
"81",110.415241000744,-91.6583308990478
"82",108.072952136707,-85.6098684712462
"83",105.718332183401,-79.6030536036822
"84",102.196021709093,-72.386324205706
"85",98.5919053295063,-62.6563958933883
"86",95.8574048191646,-57.5383083477326
"87",93.2744830554542,-52.5512726455539
"88",89.967731952192,-47.3931287372563
"89",86.6409678759686,-42.1264136872881
"90",83.4663411350102,-36.2211999585376
"91",80.7690641252956,-31.3795986948061
"92",78.8854719455782,-23.6721320945568
"93",78.8854719455782,-23.6721320945568
"94",73.8339349455782,-17.8949400945568
"95",67.8087463024725,-12.0715529684906
"96",65.3730594613689,-9.49871002814209
"97",62.3079726972307,-6.09927638179199
"98",57.9879635395306,-1.38765655301077
"99",53.1330376888204,3.14693119441569
"100",48.2086578807964,7.93868174554703
