"x","y"
190,-1026
184.28751,-1022.095
185.696743163619,-1017.64281834155
179.995092148238,-1022.37212037583
178.575783424207,-1016.38333581554
174.255765187542,-1008.98465314449
169.154600635329,-1006.31535733159
165.40707505657,-1006.73888448358
167.057613020767,-996.487258771752
159.568845491781,-985.601397331508
150.119706178608,-982.233372512165
151.830661020396,-970.896453215351
152.58851696278,-961.429759610077
153.304878118562,-944.422871029515
156.612315580391,-933.786742705469
159.805650330875,-939.066604029225
168.557370457645,-931.292908094389
175.085065372012,-918.659195885395
177.942163645485,-905.912671293716
173.590954847414,-904.122947055402
181.986994204914,-901.368931263462
187.143339873945,-891.602856469398
199.828289814369,-882.414622715944
198.104458782228,-881.010955565409
236.36512980291,-871.031533240115
228.819936767232,-859.80887298854
221.688991276677,-863.255567431637
222.227422273342,-854.763623881387
229.008857458929,-845.92945319741
228.665815068284,-841.518705113929
235.133781986045,-835.124897551649
243.183469916015,-824.777591140096
250.245347098178,-806.466718635847
271.772386961022,-800.602390646922
268.44496497611,-802.390802670065
262.322006479869,-808.103968729951
268.75410722718,-804.614337919049
281.991747720309,-789.103389921372
276.764390984009,-783.039846204915
282.789518780017,-777.726321483659
291.122885183073,-768.526425897797
291.341634136491,-773.221794569356
292.512851367787,-771.908159757058
294.895328626181,-769.319786209194
299.515112981204,-761.698535213205
305.180125909993,-751.104517953256
312.177948967145,-743.843077558491
323.478080720867,-735.892964438381
320.427946428893,-727.8168430143
323.992951649653,-718.587000274393
331.741330504805,-704.821476351944
332.212968450044,-696.094777262767
340.736014126503,-692.676784562362
343.142856810762,-685.697935861533
345.980657161314,-676.046872812672
353.098858182019,-671.528451699539
354.115279673465,-659.905115852701
353.160983254172,-661.31714226998
358.360319440554,-653.469123211463
361.999699447803,-634.554934051351
365.48467517502,-632.763660384725
361.177376751722,-629.190372792465
363.830769581132,-613.553083201572
366.606651056493,-615.719660760193
368.794068936149,-609.137133662744
369.090164467499,-605.635347260672
369.752973528991,-589.142311953464
370.680816765295,-579.948877095136
370.701766154088,-575.59117464196
363.139934616831,-573.968774385102
366.038471639608,-555.683732524751
367.22718533338,-547.380152881206
370.57976089917,-549.314594112563
372.517352872072,-535.559708218847
371.1123683812,-529.057688981261
366.38661377773,-519.301386142088
370.196905339102,-499.654912970357
363.244827570796,-509.014908775905
395.071346129207,-487.742366622921
393.004774299438,-465.767100362476
380.388057928003,-469.081900849213
373.86500170897,-473.161438578232
376.518409743468,-473.941797787769
373.006943062416,-461.235701573722
371.815584541813,-460.118255622644
367.05134079801,-457.812294175756
365.504321235883,-443.589042026657
366.92977180564,-423.356329314023
366.79849097979,-419.670498738628
373.77365082042,-407.74667625743
379.045232072582,-394.719032283648
372.081284944485,-389.587269774379
375.560452584369,-386.462492159718
381.983741065562,-381.211632951168
377.013285058257,-375.810174067696
381.638179885341,-361.06342619203
386.23946400912,-351.130466387368
387.860992956476,-354.263675145599
394.782933458062,-339.636773118594
391.990916244857,-337.311972776703
394.052163505281,-336.573171513808
396.586761248853,-320.266149957746
394.095604767624,-313.119338937697
405.517045311744,-296.527053179164
408.296057533709,-281.390158899721
406.667849638968,-283.346963220977
407.786179927169,-274.400107638661
407.971061691761,-276.690707486693
410.384576153293,-273.122026710734
420.663464028985,-253.924574719532
423.716957684562,-242.316820462331
418.059477415516,-245.935785894556
423.523608918132,-243.770326660028
440.664225466491,-227.505978237534
441.638365593808,-214.09388662818
443.714526564439,-202.48669199733
446.855194368285,-199.826676606623
446.855194368285,-199.826676606623
451.365313368285,-193.445312606623
477.50297843845,-181.348313545403
463.207891077755,-181.555387302754
463.277914921588,-180.315074511735
458.24880152846,-178.510467760401
460.417890143413,-170.673068543383
468.615701744176,-165.025816091644
475.913811243635,-158.314093859902
486.293622642952,-153.59696257641
494.76640886142,-146.64401162123
503.629764143466,-134.196119352021
509.612704257797,-128.735222968156
514.532630551783,-121.511421381708
520.783532928429,-113.199703282716
530.098690034134,-111.100557889841
530.91612906743,-104.338626567113
534.38150670634,-95.74737199227
541.59903980313,-91.3205287279201
553.033889923289,-89.8932536966714
567.493813291493,-87.6107926393368
567.731580366751,-80.6016147948019
584.77993951925,-61.7689031282013
581.495070180784,-67.3351491984665
585.193581561269,-68.2824248597975
584.532740420829,-67.10399017738
607.961444446724,-11.3779383066335
615.764828347752,-24.8779570922879
611.274370395704,-53.286622044555
613.581074641368,-50.5051308365668
615.965577177335,-47.3597400908241
627.833014797164,-38.8729101749236
640.191010872877,-38.5833269601697
644.22476997131,-36.4640441402419
648.731516046537,-31.5716502812938
652.659171386772,-26.5509818706136
663.215514062852,-26.6003863103027
692.004829916803,-24.5151039555001
683.199388697969,-18.1762850196642
680.650058508862,-14.100479093788
695.887612415034,-10.3962443178074
706.711767891899,-4.34436534998526
711.365693651905,-2.30180863728123
711.128048546569,-4.19048929089363
726.179306120443,6.93504684842993
741.104865110442,11.4504481849978
763.666256000374,10.9838580162549
767.432026074502,24.1234728292204
766.510554996932,29.1290415094141
777.119581345408,21.093443459214
773.059881953073,20.7682484819605
770.01879217354,22.5907383525266
772.251713775105,24.9584732744837
787.866815022152,33.9167645283595
803.283933679361,36.1486363936557
812.557544316389,36.4177401133907
812.590497585072,39.1540110299404
816.851723385479,41.0549797476904
832.444141265551,52.5481292561963
841.870051995948,55.4563356388528
875.302303065496,70.554865174946
874.835571232068,68.5020200849494
871.383361043569,62.9321999985918
879.879299396011,64.9517456966989
837.853853815095,12.5162107134931
859.763980164044,40.8023704560634
886.921282575199,76.1776030059664
905.321993632316,81.0421935978435
918.018212860333,82.6693922901472
917.671874637768,86.3949370953002
925.729670308253,89.1337345775242
946.719262182647,96.6442171467267
959.407723805424,99.5769320607265
957.032403142491,102.643702394923
965.090999942994,108.92510740916
985.650314163457,117.019467090324
987.167793553804,117.007310656124
998.232684690625,119.901073313091
1010.51126545185,126.488964368848
1016.8732876187,133.218954200812
1023.90541268842,135.558415900862
1025.19763994991,134.881974569178
1028.17062003505,136.077874386387
1058.56474377054,147.244847611537
1056.75969508338,149.372528470724
1057.04350404427,156.322157235645
1067.6485244444,156.355709246203
1073.90736021583,163.338730825427
1084.34658080682,178.977926898891
1096.43607008767,176.638295452712
1092.2845213782,169.105067760658
1103.58948269372,175.524225692158
1111.51430905209,184.12035215809
1108.63550075499,189.424949665696
1109.43180970664,191.438160331366
1138.59717851306,195.606862258978
1138.79020370982,197.128895107536
1135.48413745759,204.291245294328
1133.46573076319,205.616007736336
1133.46573076319,205.616007736336
1139.74656776319,211.292649736336
1144.18498339448,216.10194440498
1148.52595195284,219.207735635625
1152.17641428444,223.338306808443
1156.53852671861,227.806099135268
1168.39718844021,247.442612724146
1175.10717369145,247.868553640733
1174.34024710388,241.103425515194
1183.93252330286,254.418141952025
1182.70244926394,250.815963541224
1177.94198971652,249.946012322522
1189.97918108965,261.872474120087
1204.84955456145,273.151070256446
1215.03422726572,283.847806189246
1157.73761267828,284.560012054103
1186.02623311696,283.729748152163
1229.91247598662,299.817452017145
1228.01157158556,310.441569333884
1236.35673542339,316.241043521539
1249.43691769237,327.402833799174
1257.78433131998,334.017731033682
1264.15329947367,350.228376604285
1203.02558888138,343.26524432895
1237.51521166303,348.423706526291
1272.18932690857,357.688071024071
1271.37715780081,362.800691396933
1282.02617305007,370.27923192549
1289.6139731254,382.390907492318
1291.53277686793,389.72534292194
1291.09044030468,389.541286429848
1298.8101098351,396.316086245737
1303.64326953446,404.316795858434
1309.137624851,414.602393610267
1318.3665565067,491.936611034872
1319.22807486142,463.673847766677
1322.33120367854,439.28296122094
1325.33419070782,446.149465063225
1323.57688189684,446.710657985963
1327.73645641083,456.383603134009
1339.45276345103,534.613592777941
1339.96240795245,505.430978919671
1343.55621870808,485.531812383532
1337.68594525015,482.797610698596
1341.99343949176,481.197948913483
1342.86651963092,485.738520763035
1354.34690159055,502.941770188908
1362.96321807518,520.864291872488
1378.93640825214,530.11620175372
1376.06062108443,526.285005136937
1361.40953151371,527.097357713081
1361.02180250186,536.833164900093
1372.45295375914,555.010898510638
1365.66468709303,553.945109359344
1370.2936367197,565.08709837014
1383.63384995874,579.862792080858
1379.67177454237,582.527665509275
1387.42660344589,592.977579565152
1396.42774263554,605.416754482604
1392.89319560686,606.85787017256
1399.20095300146,617.736081441504
