"","X","Y","Z"
"1969-12-31 19:00:01",34.7988739013672,7301.85546875,-211.21647644043
"1969-12-31 19:00:02",34.7990379333496,7221.85546875,-252.883148193359
"1969-12-31 19:00:03",34.799201965332,7141.85546875,-294.5498046875
"1",34.799201965332,7141.85546875,-294.5498046875
"2",34.7992477416992,7119.87109375,-306
"3",34.2010879516602,7073.958984375,-304
"4",33.7501564025879,7062.13623046875,-304
"5",33.1226692199707,7050.32275390625,-304
"6",32.362548828125,7038.515625,-304
"7",31.5028400421143,7026.71435546875,-304
"8",30.5683650970459,7014.91845703125,-304
"9",29.577751159668,7003.126953125,-304
"10",28.5449829101562,6991.3388671875,-304
"11",9.44440317024879,6923.70807183631,-303.955720994749
"12",-9.65617656965866,6856.07727648511,-304.016333796899
"13",-28.7567563095661,6788.44648113392,-303.980552419033
"14",-47.8573360494736,6720.81568578273,-303.986940256993
"15",-66.957915789381,6653.18489043153,-303.997062373113
"16",-45.0253928021515,6585.55409508034,-304.004305252878
"17",-10.6936182186957,6517.92329972914,-304.012847528544
"18",34.603728186877,6450.29250437795,-304.018714969875
"19",44.2497917642919,6465.24774782907,-304.024260849229
"20",7.6535290662935,7386.00299492843,-304.027758847078
"21",-28.9427336317049,7266.20166387456,-304.02269340661
"22",-65.5389963297034,7146.4003328207,-304.011699187103
"23",-66.094003523483,7026.59900176684,-304.015300222392
"24",-66.6490107172626,6906.79767071298,-304.014850007656
"25",-67.2040179110423,6786.99633965912,-303.994994608438
"26",-67.7590251048219,6667.19500860526,-304.000898557595
"27",-37.0356069348656,6547.39367755139,-304.159702100346
"28",-35.2627294294711,6427.59234649753,-304.145639469994
"29",-33.4898519240766,6307.79101544367,-304.128998711043
"30",-31.7169744186821,6187.98968438981,-304.085543009694
"31",-29.9440969132877,6340.29830830459,-304.067593447244
"32",-28.1712194078932,6483.74523004295,-304.029072689064
"33",-43.3825785843725,6464.44824201083,-304.019279649867
"34",-58.5939377608518,6445.15125397871,-303.979110088906
"35",-16.8046917408268,6425.85426594659,-303.967932727986
"36",-11.2771972908117,6406.55727791447,-303.974917671881
"37",-5.74970284079652,6387.26028988236,-303.98711304362
"38",-0.222208390781383,6367.96330185024,-303.998809192798
"39",5.30528605923376,6348.66631381812,-304.00844817832
"40",10.8327805092489,6329.369325786,-304.016075742011
"41",16.360274959264,6310.07233775388,-304.017249802539
"42",21.8877694092792,6290.77534972176,-304.020817362341
"43",27.4152638592943,6271.47836168964,-304.023842049377
"44",32.9427583093095,6252.18137365752,-304.028313391848
"45",38.4702527593246,6232.88438562541,-304.030373480756
"46",31.3222057583556,6213.58739759329,-304.021981168544
"47",24.1741587573865,6194.29040956117,-304.023431362438
"48",17.0261117564175,6174.99342152905,-304.024484625842
"49",9.87806475544842,6155.69643349693,-304.025875461168
"50",2.73001775447938,6214.65648592697,-304.004281018905
"51",-4.41802924648967,6214.65648592697,-304.001369947294
"52",-11.5660762474587,6214.65648592697,-303.971693099334
"53",-18.7141232484278,6214.65648592697,-303.95459667
"54",-25.8621702493968,6214.65648592697,-303.965996387128
"55",-33.0102172503659,6214.65648592697,-303.971211853083
"56",-40.1582642513349,6214.65648592697,-303.985961017121
"57",-47.306311252304,6214.65648592697,-303.999292591704
"58",-54.454358253273,6214.65648592697,-304.010520571055
"59",-61.6024052542421,6214.65648592697,-304.013530092783
"60",-68.7504522552111,6214.65648592697,-304.003713974027
"61",-59.2429783939684,6214.65648592697,-304.007289287103
"62",-49.7355045327256,6214.65648592697,-304.01250405801
"63",-40.2280306714829,6214.65648592697,-304.017868214512
"64",-30.7205568102402,6214.65648592697,-304.021742069905
"65",-21.2130829489974,6214.65648592697,-304.025656824178
"66",10.6739439150319,6214.65648592697,-304.027528577606
"67",10.6739439150319,6214.65648592697,-304.019115185798
"68",10.6739439150319,6214.65648592697,-303.987305427917
"1969-12-31 19:01:12",-87.7691955566406,6295.439453125,-304
"1969-12-31 19:01:13",-93.6440887451172,6285.17529296875,-304
"1969-12-31 19:01:14",-99.7674942016602,6275.0576171875,-304
"1969-12-31 19:01:15",-106.136245727539,6265.09228515625,-304
"1969-12-31 19:01:16",-112.746887207031,6255.2861328125,-304
"1969-12-31 19:01:17",-119.595687866211,6245.64453125,-304
"1969-12-31 19:01:18",-126.678703308105,6236.173828125,-304
"1969-12-31 19:01:19",-133.991790771484,6226.87939453125,-304
"1969-12-31 19:01:20",-141.530609130859,6217.76708984375,-304
"1969-12-31 19:01:21",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:22",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:23",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:24",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:25",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:26",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:27",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:28",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:29",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:30",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:31",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:32",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:33",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:34",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:35",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:36",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:37",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:38",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:39",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:40",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:41",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:42",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:43",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:44",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:45",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:46",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:47",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:48",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:49",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:50",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:51",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:52",-149.273284912109,6208.82666015625,-304
"1969-12-31 19:01:54",-430.638702392578,5938.63720703125,-304
"1969-12-31 19:01:55",-440.095306396484,5931.5263671875,-304
"1969-12-31 19:01:56",-449.636810302734,5924.5302734375,-304
"1969-12-31 19:01:57",-459.262237548828,5917.64990234375,-304
"1969-12-31 19:01:58",-468.970458984375,5910.88671875,-304
"1969-12-31 19:01:59",-478.76025390625,5904.2421875,-304
"1969-12-31 19:02:00",-488.630340576172,5897.7177734375,-304
"1969-12-31 19:02:01",-498.579376220703,5891.314453125,-304
"1969-12-31 19:02:02",-508.60595703125,5885.033203125,-304
"1969-12-31 19:02:03",-518.708679199219,5878.875,-304
"1969-12-31 19:02:04",-518.708679199219,5878.875,-304
"1969-12-31 19:02:05",-518.708679199219,5878.875,-304
"1969-12-31 19:02:06",-518.708679199219,5878.875,-304
"1969-12-31 19:02:07",-518.708679199219,5878.875,-304
"1969-12-31 19:02:08",-518.708679199219,5878.875,-304
"1969-12-31 19:02:09",-518.708679199219,5878.875,-304
"1969-12-31 19:02:10",-518.708679199219,5878.875,-304
"1969-12-31 19:02:11",-518.708679199219,5878.875,-304
"1969-12-31 19:02:12",-518.708679199219,5878.875,-304
"1969-12-31 19:02:13",-518.708679199219,5878.875,-304
"1969-12-31 19:02:14",-518.708679199219,5878.875,-304
"1969-12-31 19:02:15",-518.708679199219,5878.875,-304
"1969-12-31 19:02:16",-518.708679199219,5878.875,-304
"1969-12-31 19:02:17",-518.708679199219,5878.875,-304
"1969-12-31 19:02:18",-518.708679199219,5878.875,-304
"1969-12-31 19:02:19",-518.708679199219,5878.875,-304
"1969-12-31 19:02:20",-518.708679199219,5878.875,-304
"1969-12-31 19:02:21",-518.708679199219,5878.875,-304
"1969-12-31 19:02:22",-518.708679199219,5878.875,-304
"1969-12-31 19:02:23",-518.708679199219,5878.875,-304
"1969-12-31 19:02:24",-518.708679199219,5878.875,-304
"1969-12-31 19:02:25",-518.708679199219,5878.875,-304
"1969-12-31 19:02:26",-518.708679199219,5878.875,-304
"1969-12-31 19:02:27",-518.708679199219,5878.875,-304
"1969-12-31 19:02:28",-518.708679199219,5878.875,-304
"1969-12-31 19:02:29",-518.708679199219,5878.875,-304
"1969-12-31 19:02:30",-518.708679199219,5878.875,-304
"1969-12-31 19:02:31",-518.708679199219,5878.875,-304
"1969-12-31 19:02:32",-518.708679199219,5878.875,-304
"1969-12-31 19:02:33",-518.708679199219,5878.875,-304
"1969-12-31 19:02:34",-518.708679199219,5878.875,-304
"1969-12-31 19:02:35",-518.708679199219,5878.875,-304
"1969-12-31 19:02:36",-518.708679199219,5878.875,-304
"1969-12-31 19:02:37",-518.708679199219,5878.875,-304
"1969-12-31 19:02:38",-518.708679199219,5878.875,-304
"1969-12-31 19:02:39",-518.708679199219,5878.875,-304
"1969-12-31 19:02:40",-518.708679199219,5878.875,-304
"1969-12-31 19:02:41",-518.708679199219,5878.875,-304
"1969-12-31 19:02:42",-518.708679199219,5878.875,-304
"1969-12-31 19:02:43",-518.708679199219,5878.875,-304
"1969-12-31 19:02:44",-518.708679199219,5878.875,-304
"1969-12-31 19:02:46",-966.588256835938,5637.45068359375,-304
"1969-12-31 19:02:47",-977.0810546875,5631.97998046875,-304
"1969-12-31 19:02:48",-987.584045410156,5626.52880859375,-304
"1969-12-31 19:02:49",-998.097412109375,5621.09765625,-304
"1969-12-31 19:02:50",-1008.62133789062,5615.68701171875,-304
"1969-12-31 19:02:51",-1019.15582275391,5610.296875,-304
"1969-12-31 19:02:52",-1029.70104980469,5604.927734375,-304
"1969-12-31 19:02:53",-1040.25695800781,5599.57958984375,-304
"1969-12-31 19:02:54",-1050.82348632812,5594.2529296875,-304
"1969-12-31 19:02:55",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:02:56",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:02:57",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:02:58",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:02:59",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:00",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:01",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:02",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:03",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:04",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:05",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:06",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:07",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:08",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:09",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:10",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:11",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:12",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:13",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:14",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:15",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:16",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:17",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:18",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:19",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:20",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:21",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:22",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:23",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:24",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:25",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:26",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:27",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:28",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:29",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:30",-1061.40075683594,5588.947265625,-304
"1969-12-31 19:03:31",-1061.40075683594,5588.947265625,-304
