"","x","y"
"1",-456,931
"2",-462.351161,931.187305
"3",-467.635403,930.328742
"4",-471.418641,928.991466
"5",-474.342813,927.26599
"6",-476.720833,925.047844
"7",-478.506303,922.382322
"8",-479.70251,919.525714
"9",-480.590875,916.28934
"10",-481.159711,912.290731
"11",-450.327362039586,797.747151542177
"12",-515.832678882366,878.370074793814
"13",-546.726535346453,903.443007639644
"14",-479.311902448482,926.703730024445
"15",-411.897269550511,932.021058768939
"16",-344.482636652541,723.466684015722
"17",-336.472153881076,589.023556884685
"18",-328.461671109612,598.322939093503
"19",-320.451188338147,602.915572581199
"20",-312.440705566683,413.795613575731
"21",-304.430222795218,374.426741521577
"22",-296.419740023754,368.663616748585
"23",-288.409257252289,362.900491975592
"24",-280.398774480825,357.1373672026
"25",-272.38829170936,377.193260711395
"26",-264.377808937896,427.29732424106
"27",-256.367326166431,455.805510448668
"28",-248.356843394967,307.928310912394
"29",-240.346360623503,310.742692665961
"30",-293.423886641106,313.557074419529
"31",-329.425903626131,316.371456173096
"32",-380.068446744349,319.185837926663
"33",-360.03831726504,322.00021968023
"34",-413.721254515963,324.814601433798
"35",-453.289097019822,327.628983187365
"36",-457.670999990058,320.59601527959
"37",-468.336310412993,313.563047371815
"38",-427.080590367283,311.862993031049
"39",-385.824870321574,310.162938690282
"40",-344.569150275864,308.462884349515
"41",-303.313430230155,311.777331784922
"42",-262.057710184445,339.098022263063
"43",-220.801990138736,349.425187048203
"44",-442.713269218851,428.055076591432
"45",-311.833386781069,368.420677729767
"46",-180.953504343287,308.786278868102
"47",-237.390281424213,337.072895828075
"48",-307.246368874886,310.216102263774
"49",-347.13404448106,325.308015708498
"50",-358.966786114888,314.430036897911
"51",-406.659155301683,365.884650959719
"52",-453.578705842887,383.441558557686
"53",-327.006454211612,358.601963470587
"54",-200.434202580338,397.542118856965
"55",-73.861950949063,426.486552806007
"56",-287.120757074957,569.4257648593
"57",-249.501899130583,535.965131824497
"58",-561.165014366855,615.748794320796
"59",-575.734311246701,631.035335797299
"60",-555.156775409559,638.944182430197
"61",-557.207610573168,683.444171553169
"62",-559.258445736777,704.116765970444
"63",-561.309280900386,751.370124839474
"64",-563.360116063996,748.795212626777
"65",-565.410951227605,759.346759588064
"66",-567.461786391214,769.898306549352
"67",-569.512621554823,780.44985351064
"68",-571.563456718432,791.001400471928
"69",-573.614291882041,801.552947433216
"70",-506.21749671476,812.104494394503
"71",-14.5028918511339,822.656041355791
"72",-34.0635272323102,885.924784898619
"73",-66.803107279519,828.376704900003
"74",-107.91334302824,882.537108616114
"75",-100.175401808275,556.605059305188
"76",-92.4374605883109,525.161660869045
"77",-84.6995193683464,391.358238574826
"78",-76.9615781483819,384.840426010922
"79",-69.2236369284175,378.322613447019
"80",-61.4856957084531,371.804800883115
"81",-53.7477544884886,365.286988319212
"82",-46.0098132685241,358.769175755308
"83",-114.669470729381,352.251363191405
"84",-130.960547424198,345.733550627501
"85",-274.747005842793,339.215738063598
"86",-309.865402831028,332.697925499694
"87",-308.419423478535,326.180112935791
"88",-468.138699235413,385.159473746115
"89",-450.432629767827,409.675183119234
"90",-516.043445779236,461.470358804019
"91",-492.145358351471,531.832673159135
"92",-474.663539844342,554.396621917407
"93",-433.688239538925,609.274345156425
"94",-433.688239538925,609.274345156425
"95",-426.566823538925,606.346019156425
"96",-418.305210538925,603.342089156425
"97",-409.841512538925,600.628985156425
"98",-400.820272538925,597.879122156425
